student_id,age,gender,category,state,preferred_stream,entrance_exam,entrance_score,board_percentage,extracurricular_score,admission_probability,admission_status,scholarship_eligibility,Unique_ID,performance_tier
250.99,17,other,general,odisha,management,cet,30,95.58,2,0.387,admitted,yes,1,Elite (90%+)
250.99,20,other,ews,gujarat,agriculture,none,0,75.45,2,0.221,rejected,no,2,High (75-90%)
250.99,19,female,sc,uttar pradesh,pharmacy,cet,120,75.36,10,0.446,rejected,no,3,High (75-90%)
250.99,18,male,ews,meghalaya,arts,cet,179,52.49,2,0.174,admitted,no,4,Below Average (<60%)
250.99,18,male,sc,rajasthan,engineering,jee,295,92.48,7,0.634,admitted,yes,5,Elite (90%+)
250.99,20,male,ews,himachal pradesh,architecture,none,0,80.51,8,0.366,admitted,yes,6,High (75-90%)
250.99,17,female,obc,nagaland,agriculture,cet,57,61.46,10,0.303,rejected,no,7,Average (60-75%)
250.99,19,other,sc,nagaland,medical,neet,333,65.74,3,0.392,rejected,no,8,Average (60-75%)
250.99,17,male,obc,meghalaya,science,none,0,68.35,4,0.205,admitted,no,9,Average (60-75%)
250.99,17,female,sc,meghalaya,pharmacy,cet,125,91.72,4,0.459,admitted,yes,10,Elite (90%+)
250.99,19,female,obc,odisha,pharmacy,cet,96,90.3,10,0.538,rejected,no,11,Elite (90%+)
250.99,20,male,sc,uttar pradesh,law,none,0,77.03,4,0.268,rejected,no,12,High (75-90%)
250.99,19,female,ews,tamil nadu,medical,neet,358,89.23,6,0.634,admitted,yes,13,High (75-90%)
250.99,20,other,general,himachal pradesh,law,none,0,78.37,6,0.314,rejected,no,14,High (75-90%)
250.99,19,other,st,telangana,pharmacy,cet,88,57.41,3,0.167,admitted,no,15,Below Average (<60%)
250.99,20,female,ews,jharkhand,science,none,0,61.08,9,0.243,rejected,no,16,Average (60-75%)
250.99,19,male,general,gujarat,architecture,cet,26,66.21,7,0.262,rejected,no,17,Average (60-75%)
250.99,17,other,st,goa,agriculture,cet,7,61.38,9,0.25,rejected,no,18,Average (60-75%)
250.99,20,male,sc,odisha,medical,neet,634,94.99,6,0.7310099999999984,admitted,yes,19,Elite (90%+)
250.99,18,other,st,madhya pradesh,engineering,jee,102,59.76,7,0.266,rejected,no,20,Below Average (<60%)
250.99,19,other,obc,sikkim,pharmacy,cet,111,54.82,1,0.127,rejected,no,21,Below Average (<60%)
250.99,18,male,obc,sikkim,computer applications,cet,105,91.76,8,0.519,rejected,no,22,Elite (90%+)
250.99,17,other,obc,maharashtra,medical,neet,73,57.05,8,0.245,rejected,no,23,Below Average (<60%)
250.99,20,male,general,goa,nursing,cet,102,50.44,1,0.088,rejected,no,24,Below Average (<60%)
250.99,20,female,sc,assam,law,none,0,83.95,10,0.428,rejected,no,25,High (75-90%)
250.99,19,male,ews,tripura,medical,neet,574,57.52,10,0.622,admitted,yes,26,Below Average (<60%)
250.99,18,male,st,haryana,law,none,0,69.86,1,0.162,rejected,no,27,Average (60-75%)
250.99,20,other,general,andhra pradesh,law,cet,101,66.24,3,0.24,rejected,no,28,Average (60-75%)
250.99,19,female,sc,karnataka,arts,none,0,98.11,1,0.367,rejected,no,29,Elite (90%+)
250.99,18,female,general,rajasthan,architecture,none,0,54.93,1,0.054,rejected,no,30,Below Average (<60%)
250.99,18,female,general,assam,science,cet,144,52.86,2,0.154,admitted,no,31,Below Average (<60%)
250.99,17,other,st,nagaland,nursing,cet,71,88.88,10,0.511,admitted,yes,32,High (75-90%)
250.99,17,other,obc,karnataka,commerce,cet,166,66.66,9,0.396,rejected,no,33,Average (60-75%)
250.99,19,female,st,telangana,agriculture,cet,143,78.14,2,0.336,rejected,no,34,High (75-90%)
250.99,20,male,general,kerala,computer applications,cet,111,50.5,1,0.096,rejected,no,35,Below Average (<60%)
250.99,17,male,general,maharashtra,arts,none,0,99.46,1,0.377,rejected,no,36,Elite (90%+)
250.99,20,female,st,kerala,science,none,0,82.59,1,0.254,admitted,no,37,High (75-90%)
250.99,20,male,obc,nagaland,nursing,cet,190,82.78,10,0.547,rejected,no,38,High (75-90%)
250.99,18,male,general,arunachal pradesh,pharmacy,cet,17,87.49,7,0.41,rejected,no,39,High (75-90%)
250.99,19,male,st,arunachal pradesh,commerce,cet,160,68.16,0,0.239,rejected,no,40,Average (60-75%)
250.99,17,other,st,meghalaya,medical,neet,385,70.08,0,0.405,rejected,no,41,Average (60-75%)
250.99,20,female,ews,karnataka,arts,cet,64,71.88,7,0.329,rejected,no,42,Average (60-75%)
250.99,19,other,sc,chhattisgarh,architecture,cet,158,89.69,10,0.576,admitted,yes,43,High (75-90%)
