student_id,age,gender,category,state,preferred_stream,entrance_exam,entrance_score,board_percentage,extracurricular_score,admission_probability,admission_status,scholarship_eligibility
250.99,17,other,general,odisha,management,cet,30,95.58,2,0.387,admitted,yes
250.99,20,other,ews,gujarat,agriculture,none,0,75.45,2,0.221,rejected,no
250.99,19,female,sc,uttar pradesh,pharmacy,cet,120,75.36,10,0.446,rejected,no
250.99,18,male,ews,meghalaya,arts,cet,179,52.49,2,0.174,admitted,no
250.99,18,male,sc,rajasthan,engineering,jee,295,92.48,7,0.634,admitted,yes
250.99,20,male,ews,himachal pradesh,architecture,none,0,80.51,8,0.366,admitted,yes
250.99,17,female,obc,nagaland,agriculture,cet,57,61.46,10,0.303,rejected,no
250.99,19,other,sc,nagaland,medical,neet,333,65.74,3,0.392,rejected,no
250.99,17,male,obc,meghalaya,science,none,0,68.35,4,0.205,admitted,no
250.99,17,female,sc,meghalaya,pharmacy,cet,125,91.72,4,0.459,admitted,yes
250.99,19,female,obc,odisha,pharmacy,cet,96,90.3,10,0.538,rejected,no
250.99,20,male,sc,uttar pradesh,law,none,0,77.03,4,0.268,rejected,no
250.99,19,female,ews,tamil nadu,medical,neet,358,89.23,6,0.634,admitted,yes
250.99,20,other,general,himachal pradesh,law,none,0,78.37,6,0.314,rejected,no
250.99,19,other,st,telangana,pharmacy,cet,88,57.41,3,0.167,admitted,no
250.99,20,female,ews,jharkhand,science,none,0,61.08,9,0.243,rejected,no
250.99,19,male,general,gujarat,architecture,cet,26,66.21,7,0.262,rejected,no
250.99,17,other,st,goa,agriculture,cet,7,61.38,9,0.25,rejected,no
250.99,20,male,sc,odisha,medical,neet,634,94.99,6,0.7310099999999984,admitted,yes
250.99,18,other,st,madhya pradesh,engineering,jee,102,59.76,7,0.266,rejected,no
250.99,19,other,obc,sikkim,pharmacy,cet,111,54.82,1,0.127,rejected,no
250.99,18,male,obc,sikkim,computer applications,cet,105,91.76,8,0.519,rejected,no
250.99,17,other,obc,maharashtra,medical,neet,73,57.05,8,0.245,rejected,no
250.99,20,male,general,goa,nursing,cet,102,50.44,1,0.088,rejected,no
250.99,20,female,sc,assam,law,none,0,83.95,10,0.428,rejected,no
250.99,19,male,ews,tripura,medical,neet,574,57.52,10,0.622,admitted,yes
250.99,18,male,st,haryana,law,none,0,69.86,1,0.162,rejected,no
250.99,20,other,general,andhra pradesh,law,cet,101,66.24,3,0.24,rejected,no
250.99,19,female,sc,karnataka,arts,none,0,98.11,1,0.367,rejected,no
250.99,18,female,general,rajasthan,architecture,none,0,54.93,1,0.054,rejected,no
250.99,18,female,general,assam,science,cet,144,52.86,2,0.154,admitted,no
250.99,17,other,st,nagaland,nursing,cet,71,88.88,10,0.511,admitted,yes
250.99,17,other,obc,karnataka,commerce,cet,166,66.66,9,0.396,rejected,no
250.99,19,female,st,telangana,agriculture,cet,143,78.14,2,0.336,rejected,no
250.99,20,male,general,kerala,computer applications,cet,111,50.5,1,0.096,rejected,no
250.99,17,male,general,maharashtra,arts,none,0,99.46,1,0.377,rejected,no
250.99,20,female,st,kerala,science,none,0,82.59,1,0.254,admitted,no
250.99,20,male,obc,nagaland,nursing,cet,190,82.78,10,0.547,rejected,no
250.99,18,male,general,arunachal pradesh,pharmacy,cet,17,87.49,7,0.41,rejected,no
250.99,19,male,st,arunachal pradesh,commerce,cet,160,68.16,0,0.239,rejected,no
250.99,17,other,st,meghalaya,medical,neet,385,70.08,0,0.405,rejected,no
250.99,20,female,ews,karnataka,arts,cet,64,71.88,7,0.329,rejected,no
250.99,19,other,sc,chhattisgarh,architecture,cet,158,89.69,10,0.576,admitted,yes
250.99,18,female,sc,rajasthan,pharmacy,none,0,54.19,4,0.103,rejected,no
250.99,17,female,st,punjab,engineering,jee,85,64.44,1,0.18,rejected,no
250.99,20,other,st,assam,computer applications,cet,135,89.05,8,0.519,rejected,no
250.99,18,other,st,chhattisgarh,commerce,none,0,53.44,10,0.206,admitted,yes
250.99,20,male,obc,rajasthan,science,cet,176,97.41,0,0.462,admitted,yes
250.99,19,male,ews,madhya pradesh,management,none,0,77.64,8,0.345,rejected,no
250.99,20,female,st,himachal pradesh,management,cet,115,56.1,3,0.176,rejected,no
250.99,20,male,ews,maharashtra,computer applications,none,0,59.84,3,0.125,rejected,no
250.99,17,male,sc,jharkhand,engineering,jee,65,60.29,2,0.154,rejected,no
250.99,18,male,sc,assam,arts,cet,140,59.31,4,0.234,rejected,no
250.99,18,other,ews,mizoram,commerce,none,0,75.95,1,0.206,rejected,no
250.99,18,female,st,odisha,pharmacy,cet,23,90.45,1,0.327,admitted,yes
250.99,17,male,st,assam,nursing,cet,37,58.14,6,0.192,rejected,no
250.99,19,other,ews,gujarat,medical,neet,191,52.52,9,0.31,rejected,no
250.99,17,female,obc,mizoram,architecture,cet,61,51.71,3,0.108,rejected,no
250.99,19,other,general,punjab,law,none,0,56.26,9,0.208,admitted,yes
250.99,19,male,general,telangana,law,cet,107,60.08,4,0.217,admitted,no
250.99,20,other,sc,meghalaya,nursing,cet,123,70.49,4,0.304,admitted,no
250.99,19,male,ews,assam,management,none,0,87.12,7,0.396,admitted,yes
250.99,18,female,ews,jharkhand,medical,neet,5,51.22,8,0.157,rejected,no
250.99,20,female,general,gujarat,law,none,0,64.14,0,0.102,rejected,no
250.99,18,male,general,uttar pradesh,management,none,0,51.28,1,0.04199000000000001,rejected,no
250.99,18,female,st,andhra pradesh,medical,neet,629,99.53,8,0.7310099999999984,admitted,yes
250.99,20,male,obc,jharkhand,pharmacy,cet,39,84.68,4,0.35,admitted,no
250.99,18,female,sc,maharashtra,law,cet,186,59.95,4,0.27,rejected,no
250.99,17,other,general,haryana,engineering,jee,76,55.1,8,0.233,admitted,yes
250.99,18,male,general,punjab,nursing,none,0,64.15,2,0.139,admitted,no
250.99,20,female,sc,bihar,arts,none,0,86.82,8,0.412,admitted,yes
250.99,17,other,st,tripura,commerce,cet,199,99.53,8,0.641,admitted,yes
250.99,18,male,ews,karnataka,medical,neet,401,63.3,10,0.548,rejected,no
250.99,17,male,sc,jharkhand,engineering,jee,253,90.59,2,0.501,rejected,no
250.99,19,male,st,tripura,science,cet,145,91.55,6,0.508,rejected,no
250.99,18,female,ews,bihar,management,cet,100,83.83,6,0.421,admitted,no
250.99,18,male,sc,madhya pradesh,commerce,none,0,75.69,4,0.259,rejected,no
250.99,17,other,obc,andhra pradesh,law,cet,196,96.42,2,0.505,admitted,yes
250.99,19,male,ews,maharashtra,architecture,cet,88,82.84,4,0.37,rejected,no
250.99,19,female,general,himachal pradesh,arts,none,0,76.03,6,0.297,rejected,no
250.99,20,male,obc,punjab,arts,cet,39,80.53,5,0.338,admitted,no
250.99,18,male,general,maharashtra,law,none,0,88.63,4,0.353,rejected,no
250.99,17,male,st,mizoram,agriculture,cet,100,56.57,6,0.224,admitted,no
250.99,20,female,obc,telangana,nursing,cet,139,91.65,9,0.559,admitted,yes
250.99,19,male,obc,tripura,commerce,cet,146,92.43,7,0.533,admitted,yes
250.99,19,male,st,goa,commerce,cet,45,67.61,4,0.23,rejected,no
250.99,17,female,obc,maharashtra,arts,none,0,53.23,7,0.15,admitted,no
250.99,18,female,obc,rajasthan,science,none,0,88.95,7,0.409,admitted,yes
250.99,20,male,sc,bihar,pharmacy,cet,150,93.76,3,0.473,admitted,yes
250.99,20,female,general,madhya pradesh,pharmacy,none,0,78.93,10,0.391,rejected,no
250.99,18,female,ews,manipur,law,none,0,87.4,1,0.289,admitted,yes
250.99,20,other,ews,tamil nadu,law,none,0,88.2,0,0.277,rejected,no
250.99,20,female,st,assam,agriculture,none,0,64.5,5,0.196,rejected,no
250.99,18,other,general,tamil nadu,medical,neet,430,55.66,0,0.33,admitted,no
250.99,20,male,sc,gujarat,computer applications,none,0,93.93,7,0.446,rejected,no
250.99,18,male,obc,tamil nadu,pharmacy,cet,45,62.52,6,0.23,rejected,no
250.99,17,female,general,nagaland,computer applications,cet,51,71.69,3,0.246,rejected,no
250.99,19,male,ews,karnataka,pharmacy,cet,157,93.76,2,0.459,admitted,yes
250.99,19,other,sc,bihar,computer applications,none,0,66.03,10,0.297,admitted,yes
250.99,17,female,st,jharkhand,architecture,none,0,70.82,0,0.151,rejected,no
250.99,20,female,st,punjab,management,none,0,51.44,4,0.083,rejected,no
250.99,17,female,obc,goa,arts,cet,92,53.82,10,0.271,rejected,no
250.99,20,male,obc,nagaland,agriculture,cet,105,83.0,8,0.455,rejected,no
250.99,17,female,ews,goa,commerce,none,0,97.26,3,0.397,admitted,yes
250.99,20,other,ews,assam,management,none,0,56.08,5,0.134,rejected,no
250.99,20,female,sc,mizoram,commerce,none,0,95.49,10,0.511,admitted,yes
250.99,20,female,sc,sikkim,computer applications,none,0,55.68,2,0.077,rejected,no
250.99,19,female,general,uttar pradesh,agriculture,cet,95,94.12,2,0.42,admitted,yes
250.99,18,female,obc,maharashtra,science,cet,119,94.43,1,0.42,rejected,no
250.99,19,other,general,meghalaya,architecture,cet,191,51.53,10,0.321,admitted,yes
250.99,18,other,ews,nagaland,pharmacy,none,0,67.32,9,0.289,rejected,no
250.99,20,female,ews,karnataka,arts,none,0,60.75,0,0.078,rejected,no
250.99,19,other,general,andhra pradesh,commerce,none,0,99.17,10,0.538,rejected,no
250.99,18,male,obc,gujarat,architecture,cet,132,64.77,6,0.305,rejected,no
250.99,19,male,obc,jharkhand,computer applications,none,0,77.43,6,0.308,rejected,no
250.99,19,male,ews,mizoram,arts,none,0,71.19,8,0.299,rejected,no
250.99,17,other,sc,haryana,arts,cet,51,76.28,4,0.297,rejected,no
250.99,17,female,general,goa,agriculture,cet,102,83.75,7,0.44,admitted,no
250.99,17,female,sc,telangana,computer applications,none,0,67.97,8,0.275,admitted,yes
250.99,17,male,general,assam,management,none,0,94.81,8,0.47,admitted,yes
250.99,18,female,st,rajasthan,architecture,cet,164,61.55,1,0.212,rejected,no
250.99,19,male,ews,assam,medical,neet,634,93.19,9,0.7310099999999984,admitted,yes
250.99,19,female,general,himachal pradesh,medical,neet,525,78.2,5,0.649,rejected,no
250.99,18,female,ews,tamil nadu,engineering,jee,141,96.28,3,0.485,admitted,yes
250.99,20,other,st,sikkim,commerce,cet,109,91.92,3,0.432,admitted,yes
250.99,19,other,general,jharkhand,engineering,jee,230,87.77,6,0.538,admitted,yes
250.99,17,male,obc,andhra pradesh,law,none,0,66.86,8,0.267,rejected,no
250.99,20,other,general,tripura,engineering,jee,212,60.95,7,0.349,rejected,no
250.99,19,female,ews,telangana,nursing,cet,109,95.24,5,0.492,rejected,no
250.99,19,female,st,madhya pradesh,law,cet,71,57.43,9,0.265,rejected,no
250.99,19,female,obc,andhra pradesh,engineering,cet,136,51.43,10,0.283,rejected,no
250.99,19,male,sc,nagaland,science,none,0,91.9,0,0.304,rejected,no
250.99,17,male,obc,rajasthan,science,none,0,90.94,6,0.406,admitted,yes
250.99,19,female,sc,sikkim,management,none,0,95.87,0,0.333,admitted,yes
250.99,20,other,st,punjab,computer applications,none,0,87.2,6,0.379,admitted,yes
250.99,18,female,general,tamil nadu,law,none,0,91.91,10,0.485,admitted,yes
250.99,19,female,st,maharashtra,management,none,0,56.46,10,0.228,rejected,no
250.99,17,other,ews,chhattisgarh,medical,neet,453,80.42,1,0.544,admitted,no
250.99,18,other,ews,nagaland,commerce,none,0,95.76,3,0.386,rejected,no
250.99,18,female,general,goa,engineering,cet,131,95.22,2,0.452,admitted,yes
250.99,20,male,sc,mizoram,arts,none,0,94.93,2,0.362,rejected,no
250.99,17,other,obc,bihar,engineering,jee,43,85.59,3,0.341,rejected,no
250.99,18,other,st,arunachal pradesh,computer applications,none,0,68.23,3,0.186,rejected,no
250.99,18,other,obc,kerala,pharmacy,cet,195,59.68,4,0.274,rejected,no
250.99,20,other,obc,meghalaya,computer applications,none,0,53.96,7,0.155,rejected,no
250.99,20,female,general,chhattisgarh,architecture,cet,157,54.84,8,0.286,admitted,yes
250.99,17,male,sc,rajasthan,engineering,jee,232,57.89,4,0.286,admitted,no
250.99,17,male,sc,mizoram,arts,none,0,78.14,10,0.385,rejected,no
250.99,20,other,sc,rajasthan,engineering,jee,100,51.48,1,0.096,rejected,no
250.99,17,female,obc,jharkhand,engineering,cet,4,58.8,5,0.157,admitted,no
250.99,20,female,st,nagaland,nursing,cet,197,67.88,9,0.425,admitted,yes
250.99,18,female,st,uttar pradesh,nursing,cet,103,82.17,6,0.411,admitted,no
250.99,20,other,general,chhattisgarh,medical,neet,312,92.65,6,0.628,rejected,no
250.99,18,female,obc,sikkim,arts,none,0,70.4,4,0.22,rejected,no
250.99,18,male,st,mizoram,commerce,cet,34,67.56,7,0.277,rejected,no
250.99,19,other,general,odisha,law,none,0,75.94,6,0.297,admitted,no
250.99,17,female,obc,mizoram,architecture,none,0,79.81,10,0.398,rejected,no
250.99,19,male,ews,nagaland,arts,none,0,67.92,0,0.13,rejected,no
250.99,19,male,sc,rajasthan,computer applications,none,0,82.29,0,0.234,rejected,no
250.99,20,female,sc,arunachal pradesh,engineering,jee,279,69.99,5,0.423,admitted,no
250.99,20,other,st,andhra pradesh,architecture,cet,103,59.78,7,0.267,rejected,no
250.99,19,male,obc,assam,management,none,0,92.35,10,0.489,admitted,yes
250.99,18,male,ews,tripura,pharmacy,cet,51,60.35,9,0.272,admitted,yes
250.99,18,male,general,kerala,architecture,cet,59,89.52,8,0.471,rejected,no
250.99,18,male,sc,uttar pradesh,architecture,cet,58,79.32,2,0.288,admitted,no
250.99,20,female,sc,telangana,medical,neet,430,87.78,4,0.636,admitted,yes
250.99,18,male,obc,himachal pradesh,computer applications,none,0,50.44,0,0.04199000000000001,rejected,no
250.99,17,other,st,assam,commerce,cet,160,60.83,8,0.331,admitted,yes
250.99,18,female,general,sikkim,science,none,0,72.08,1,0.178,admitted,no
250.99,17,female,st,karnataka,pharmacy,none,0,93.36,2,0.351,rejected,no
250.99,17,male,st,haryana,architecture,none,0,55.09,6,0.145,rejected,no
250.99,17,male,st,rajasthan,arts,none,0,78.32,7,0.332,admitted,no
250.99,20,female,obc,madhya pradesh,engineering,jee,142,92.03,8,0.546,admitted,yes
250.99,19,male,general,himachal pradesh,nursing,cet,176,50.79,2,0.16,rejected,no
250.99,19,female,sc,karnataka,computer applications,cet,139,51.85,6,0.215,rejected,no
250.99,18,female,ews,tripura,law,none,0,69.83,8,0.289,admitted,yes
250.99,19,female,st,haryana,arts,none,0,54.59,7,0.16,rejected,no
250.99,17,female,obc,tripura,agriculture,cet,97,54.28,2,0.132,rejected,no
250.99,20,other,sc,meghalaya,arts,none,0,60.67,9,0.24,rejected,no
250.99,19,other,obc,arunachal pradesh,science,none,0,73.88,3,0.227,admitted,no
250.99,20,male,st,assam,commerce,cet,176,66.66,4,0.312,admitted,no
250.99,17,female,sc,mizoram,pharmacy,cet,12,98.62,3,0.415,admitted,yes
250.99,18,other,sc,bihar,management,cet,35,72.37,10,0.367,rejected,no
250.99,19,other,general,bihar,commerce,cet,69,78.79,9,0.418,admitted,yes
250.99,18,male,st,madhya pradesh,science,cet,17,68.79,7,0.275,rejected,no
250.99,18,other,sc,kerala,nursing,cet,161,55.2,8,0.291,rejected,no
250.99,17,other,general,tripura,medical,neet,425,70.97,10,0.619,admitted,yes
250.99,18,female,general,telangana,pharmacy,cet,95,72.54,7,0.354,rejected,no
250.99,17,other,st,tripura,science,none,0,97.58,1,0.363,admitted,yes
250.99,18,female,st,arunachal pradesh,architecture,cet,85,94.68,2,0.418,admitted,yes
250.99,19,other,sc,rajasthan,arts,none,0,50.44,5,0.092,rejected,no
250.99,19,other,st,tripura,engineering,jee,215,63.83,5,0.335,rejected,no
250.99,19,other,st,meghalaya,science,none,0,78.82,2,0.245,rejected,no
